last_name,first_name,party,state,address,class,bioguide_id,Official
Alexander,Lamar,R,TN,455 Dirksen Senate Office Building Washington DC 20510,Class II,A000360,SenAlexander
Ayotte,Kelly,R,NH,144 Russell Senate Office Building Washington DC 20510,Class III,A000368,KellyAyotte
Baldwin,Tammy,D,WI,717 Hart Washington DC 20510,Class I,B001230,SenatorBaldwin
Barrasso,John,R,WY,307 Dirksen Senate Office Building Washington DC 20510,Class I,B001261,SenJohnBarrasso
Bennet,Michael F.,D,CO,261 Russell Senate Office Building Washington DC 20510,Class III,B001267,SenBennetCO
Blumenthal,Richard,D,CT,706 Hart Senate Office Building Washington DC 20510,Class III,B001277,SenBlumenthal
Blunt,Roy,R,MO,260 Russell Senate Office Building Washington DC 20510,Class III,B000575,RoyBlunt
Booker,Cory A.,D,NJ,359 Dirksen Senate Office Building Washington DC 20510,Class II,B001288,CoryBooker
Boozman,John,R,AR,141 Hart Senate Office Building Washington DC 20510,Class III,B001236,JohnBoozman
Boxer,Barbara,D,CA,112 Hart Senate Office Building Washington DC 20510,Class III,B000711,SenatorBoxer
Brown,Sherrod,D,OH,713 Hart Senate Office Building Washington DC 20510,Class I,B000944,SenSherrodBrown
Burr,Richard,R,NC,217 Russell Senate Office Building Washington DC 20510,Class III,B001135,SenatorBurr
Cantwell,Maria,D,WA,511 Hart Senate Office Building Washington DC 20510,Class I,C000127,SenatorCantwell
Capito,Shelley Moore,R,WV,172 Russell Senate Office Building Washington DC 20510,Class II,C001047,SenCapito
Cardin,Benjamin L.,D,MD,509 Hart Senate Office Building Washington DC 20510,Class I,C000141,SenatorCardin
Carper,Thomas R.,D,DE,513 Hart Senate Office Building Washington DC 20510,Class I,C000174,SenatorCarper
Casey,Robert P. Jr.,D,PA,393 Russell Senate Office Building Washington DC 20510,Class I,C001070,SenBobCasey
Cassidy,Bill,R,LA,703 Hart Senate Office Building Washington DC 20510,Class II,C001075,BillCassidy
Coats,Daniel,R,IN,493 Russell Senate Office Building Washington DC 20510,Class III,C000542,SenDanCoats
Cochran,Thad,R,MS,113 Dirksen Senate Office Building Washington DC 20510,Class II,C000567,SenThadCochran
Collins,Susan M.,R,ME,413 Dirksen Senate Office Building Washington DC 20510,Class II,C001035,SenatorCollins
Coons,Christopher A.,D,DE,127A Russell Senate Office Building Washington DC 20510,Class II,C001088,ChrisCoons
Corker,Bob,R,TN,425 Dirksen Senate Office Building Washington DC 20510,Class I,C001071,SenBobCorker
Cornyn,John,R,TX,517 Hart Senate Office Building Washington DC 20510,Class II,C001056,JohnCornyn
Cotton,Tom,R,AR,124 Russell Senate Office Building Washington DC 20510,Class II,C001095,SenTomCotton
Crapo,Mike,R,ID,239 Dirksen Senate Office Building Washington DC 20510,Class III,C000880,MikeCrapo
Cruz,Ted,R,TX,404 Russell Senate Office Building Washington DC 20510,Class I,C001098,SenTedCruz
Daines,Steve,R,MT,320 Hart Senate Office Building Washington DC 20510,Class II,D000618,SteveDaines
Donnelly,Joe,D,IN,720 Hart Senate Office Building Washington DC 20510,Class I,D000607,SenDonnelly
Durbin,Richard J.,D,IL,711 Hart Senate Office Building Washington DC 20510,Class II,D000563,SenatorDurbin
Enzi,Michael B.,R,WY,379A Russell Senate Office Building Washington DC 20510,Class II,E000285,SenatorEnzi
Ernst,Joni,R,IA,111 Russell Senate Office Building Washington DC 20510,Class II,E000295,SenJoniErnst
Feinstein,Dianne,D,CA,331 Hart Senate Office Building Washington DC 20510,Class I,F000062,SenFeinstein
Fischer,Deb,R,NE,454 Russell Senate Office Building Washington DC 20510,Class I,F000463,SenatorFischer
Flake,Jeff,R,AZ,413 Russell Senate Office Building Washington DC 20510,Class I,F000444,JeffFlake
Franken,Al,D,MN,309 Hart Senate Office Building Washington DC 20510,Class II,F000457,alfranken
Gardner,Cory,R,CO,354 Russell Senate Office Building Washington DC 20510,Class II,G000562,SenCoryGardner
Gillibrand,Kirsten E.,D,NY,478 Russell Senate Office Building Washington DC 20510,Class I,G000555,SenGillibrand
Graham,Lindsey,R,SC,290 Russell Senate Office Building Washington DC 20510,Class II,G000359,LindseyGrahamSC
Grassley,Chuck,R,IA,135 Hart Senate Office Building Washington DC 20510,Class III,G000386,ChuckGrassley
Hatch,Orrin G.,R,UT,104 Hart Senate Office Building Washington DC 20510,Class I,H000338,SenOrrinHatch
Heinrich,Martin,D,NM,303 Hart Senate Office Building Washington DC 20510,Class I,H001046,MartinHeinrich
Heitkamp,Heidi,D,ND,110 Hart Senate Office Building Washington DC 20510,Class I,H001069,SenatorHeitkamp
Heller,Dean,R,NV,324 Hart Senate Office Building Washington DC 20510,Class I,H001041,SenDeanHeller
Hirono,Mazie K.,D,HI,330 Hart Senate Office Building Washington DC 20510,Class I,H001042,maziehirono
Hoeven,John,R,ND,338 Russell Senate Office Building Washington DC 20510,Class III,H001061,SenJohnHoeven
Inhofe,James M.,R,OK,205 Russell Senate Office Building Washington DC 20510,Class II,I000024,InhofePress
Isakson,Johnny,R,GA,131 Russell Senate Office Building Washington DC 20510,Class III,I000055,SenatorIsakson
Johnson,Ron,R,WI,328 Hart Senate Office Building Washington DC 20510,Class III,J000293,SenRonJohnson
Kaine,Tim,D,VA,231 Russell Senate Office Building Washington DC 20510,Class I,K000384,timkaine
King,Angus S. Jr.,I,ME,133 Hart Senate Office Building Washington DC 20510,Class I,K000383,SenAngusKing
Kirk,Mark,R,IL,524 Hart Senate Office Building Washington DC 20510,Class III,K000360,SenatorKirk
Klobuchar,Amy,D,MN,302 Hart Senate Office Building Washington DC 20510,Class I,K000367,amyklobuchar
Lankford,James,R,OK,316 Hart Senate Office Building Washington DC 20510,Class III,L000575,SenatorLankford
Leahy,Patrick J.,D,VT,437 Russell Senate Office Building Washington DC 20510,Class III,L000174,SenatorLeahy
Lee,Mike,R,UT,361A Russell Senate Office Building Washington DC 20510,Class III,L000577,SenMikeLee
Manchin,Joe III,D,WV,306 Hart Senate Office Building Washington DC 20510,Class I,M001183,Sen_JoeManchin
Markey,Edward J.,D,MA,255 Dirksen Senate Office Building Washington DC 20510,Class II,M000133,SenMarkey
McCain,John,R,AZ,218 Russell Senate Office Building Washington DC 20510,Class III,M000303,SenJohnMcCain
McCaskill,Claire,D,MO,730 Hart Senate Office Building Washington DC 20510,Class I,M001170,McCaskillOffice
McConnell,Mitch,R,KY,317 Russell Senate Office Building Washington DC 20510,Class II,M000355,McConnellPress
Menendez,Robert,D,NJ,528 Hart Senate Office Building Washington DC 20510,Class I,M000639,SenatorMenendez
Merkley,Jeff,D,OR,313 Hart Senate Office Building Washington DC 20510,Class II,M001176,SenJeffMerkley
Mikulski,Barbara A.,D,MD,503 Hart Senate Office Building Washington DC 20510,Class III,M000702,SenatorBarb
Moran,Jerry,R,KS,521 Dirksen Senate Office Building Washington DC 20510,Class III,M000934,JerryMoran
Murkowski,Lisa,R,AK,709 Hart Senate Office Building Washington DC 20510,Class III,M001153,lisamurkowski
Murphy,Christopher,D,CT,136 Hart Senate Office Building Washington DC 20510,Class I,M001169,ChrisMurphyCT
Murray,Patty,D,WA,154 Russell Senate Office Building Washington DC 20510,Class III,M001111,PattyMurray
Nelson,Bill,D,FL,716 Hart Senate Office Building Washington DC 20510,Class I,N000032,SenBillNelson
Paul,Rand,R,KY,167 Russell Senate Office Building Washington DC 20510,Class III,P000603,RandPaul
Perdue,David,R,GA,383 Russell Senate Office Building Washington DC 20510,Class II,P000612,sendavidperdue
Peters,Gary C.,D,MI,724 Hart Senate Office Building Washington DC 20510,Class II,P000595,SenGaryPeters
Portman,Rob,R,OH,448 Russell Senate Office Building Washington DC 20510,Class III,P000449,senrobportman
Reed,Jack,D,RI,728 Hart Senate Office Building Washington DC 20510,Class II,R000122,SenJackReed
Reid,Harry,D,NV,522 Hart Senate Office Building Washington DC 20510,Class III,R000146,SenatorReid
Risch,James E.,R,ID,483 Russell Senate Office Building Washington DC 20510,Class II,R000584,SenatorRisch
Roberts,Pat,R,KS,109 Hart Senate Office Building Washington DC 20510,Class II,R000307,SenPatRoberts
Rounds,Mike,R,SD,502 Hart Senate Office Building Washington DC 20510,Class II,R000605,SenatorRounds
Rubio,Marco,R,FL,284 Russell Senate Office Building Washington DC 20510,Class III,R000595,marcorubio
Sanders,Bernard,I,VT,332 Dirksen Senate Office Building Washington DC 20510,Class I,S000033,SenSanders
Sasse,Ben,R,NE,386A Russell Senate Office Building Washington DC 20510,Class II,S001197,SenSasse
Schatz,Brian,D,HI,722 Hart Senate Office Building Washington DC 20510,Class III,S001194,SenBrianSchatz
Schumer,Charles E.,D,NY,322 Hart Senate Office Building Washington DC 20510,Class III,S000148,SenSchumer
Scott,Tim,R,SC,520 Hart Senate Office Building Washington DC 20510,Class III,S001184,SenatorTimScott
Sessions,Jeff,R,AL,326 Russell Senate Office Building Washington DC 20510,Class II,S001141,SenatorSessions
Shaheen,Jeanne,D,NH,506 Hart Senate Office Building Washington DC 20510,Class II,S001181,SenatorShaheen
Shelby,Richard C.,R,AL,304 Russell Senate Office Building Washington DC 20510,Class III,S000320,SenShelby
Stabenow,Debbie,D,MI,731 Hart Senate Office Building Washington DC 20510,Class I,S000770,SenStabenow
Sullivan,Daniel,R,AK,702 Hart Senate Office Building Washington DC 20510,Class II,S001198,SenDanSullivan
Tester,Jon,D,MT,311 Hart Senate Office Building Washington DC 20510,Class I,T000464,SenatorTester
Thune,John,R,SD,511 Dirksen Senate Office Building Washington DC 20510,Class III,T000250,SenJohnThune
Tillis,Thom,R,NC,185 Dirksen Senate Office Building Washington DC 20510,Class II,T000476,SenThomTillis
Toomey,Patrick J.,R,PA,248 Russell Senate Office Building Washington DC 20510,Class III,T000461,SenToomey
Udall,Tom,D,NM,531 Hart Senate Office Building Washington DC 20510,Class II,U000039,SenatorTomUdall
Vitter,David,R,LA,516 Hart Senate Office Building Washington DC 20510,Class III,V000127,DavidVitter
Warner,Mark R.,D,VA,475 Russell Senate Office Building Washington DC 20510,Class II,W000805,MarkWarner
Warren,Elizabeth,D,MA,317 Hart Senate Office Building Washington DC 20510,Class I,W000817,SenWarren
Whitehouse,Sheldon,D,RI,530 Hart Senate Office Building Washington DC 20510,Class I,W000802,SenWhitehouse
Wicker,Roger F.,R,MS,555 Dirksen Senate Office Building Washington DC 20510,Class I,W000437,SenatorWicker
Wyden,Ron,D,OR,221 Dirksen Senate Office Building Washington DC 20510,Class III,W000779,RonWyden
