Cluster Method,Num Clusters,Avg Max Percent,Avg Min Percent,Avg Conductance,Homogeneity Score,Completeness Score,V Score
spectral_mentions_2clusters_undir_weight,2,0.369127517,0.298657718,0.50928772,0.00410831,0.006516544,0.005039501
spectral_mentions_2clusters_undir_unweight,2,0.38590604,0.285234899,0.553187462,0.008168328,0.012956488,0.010019765
spectral_mentions_2clusters_sum_weighted,2,0.624161074,0.046979866,0.105892556,0.273394744,0.436499104,0.336209593
spectral_mentions_2clusters_sum_unweighted,2,0.651006711,0.020134228,0.090285353,0.342130416,0.542312081,0.419567034
spectral_mentions_2clusters_prod_weight,2,0.593959732,0.077181208,0.224607591,0.243053096,0.404399019,0.303622249
spectral_mentions_2clusters_prod_unweighted,2,0.634228188,0.036912752,0.113281857,0.304860126,0.487232572,0.375051515
spectral_mentions_2clusters_bib_weight,2,0.610738255,0.060402685,0.155829699,0.272513782,0.449985278,0.339452871
spectral_mentions_2clusters_bib_unweight,2,0.654362416,0.016778523,0.089811041,0.354868783,0.562595129,0.435215916
spectral_mentions_2clusters_deg_discount_weight,2,0.463087248,0.208053691,0.85398218,0.049571756,0.079501198,0.061066457
spectral_mentions_2clusters_deg_discount_unweight,2,0.647651007,0.023489933,0.095937259,0.336272628,0.534068716,0.41269484
spectral_mentions_3clusters_undir_weight,3,0.372483221,0.291946309,0.529953634,0.005923125,0.008056658,0.006827086
spectral_mentions_3clusters_undir_unweight,3,0.389261745,0.281879195,0.723918545,0.009179075,0.009378639,0.009277784
spectral_mentions_3clusters_sum_weighted,3,0.624161074,0.046979866,0.138207915,0.276230117,0.36104277,0.312992718
spectral_mentions_3clusters_sum_unweighted,3,0.654362416,0.040268456,0.260391628,0.341547496,0.357871148,0.349518834
spectral_mentions_3clusters_prod_weight,3,0.587248322,0.083892617,0.250315092,0.237592691,0.322255149,0.27352242
spectral_mentions_3clusters_prod_unweighted,3,0.748322148,0.05704698,0.573613021,0.38628384,0.391092549,0.388673322
spectral_mentions_3clusters_bib_weight,3,0.597315436,0.067114094,0.550398504,0.29135563,0.29741186,0.294352597
spectral_mentions_3clusters_bib_unweight,3,0.667785235,0.026845638,0.63766745,0.359821657,0.37017785,0.364926294
spectral_mentions_3clusters_deg_discount_weight,3,0.533557047,0.137583893,0.900898589,0.167412054,0.173870444,0.17058014
spectral_mentions_3clusters_deg_discount_unweight,3,0.651006711,0.030201342,0.597867537,0.344180381,0.352741917,0.348408561
spectral_mentions_4clusters_undir_weight,4,0.38590604,0.281879195,0.595827867,0.012979272,0.015450475,0.014107471
spectral_mentions_4clusters_undir_unweight,4,0.39261745,0.27852349,0.767286886,0.018705747,0.015871094,0.017172226
spectral_mentions_4clusters_sum_weighted,4,0.624161074,0.046979866,0.153041123,0.27861317,0.320174843,0.297951616
spectral_mentions_4clusters_sum_unweighted,4,0.634228188,0.036912752,0.318174228,0.345176525,0.29628122,0.318865343
spectral_mentions_4clusters_prod_weight,4,0.570469799,0.080536913,0.527718316,0.22769088,0.200230848,0.213079799
spectral_mentions_4clusters_prod_unweighted,4,0.744966443,0.033557047,0.627118103,0.427984611,0.343830945,0.381319998
spectral_mentions_4clusters_bib_weight,4,0.597315436,0.070469799,0.553456211,0.288301428,0.259280431,0.273021895
spectral_mentions_4clusters_bib_unweight,4,0.704697987,0.040268456,0.863333934,0.393861069,0.327285011,0.357499896
spectral_mentions_4clusters_deg_discount_weight,4,0.489932886,0.137583893,1.265360374,0.153340197,0.123071624,0.136548625
spectral_mentions_4clusters_deg_discount_unweight,4,0.637583893,0.033557047,0.736897114,0.328220433,0.261244023,0.290927215
spectral_replies_2clusters_undir_weight,2,0.423868313,0.259259259,0.648209671,0.006213408,0.009897067,0.007634103
spectral_replies_2clusters_undir_unweight,2,0.423868313,0.259259259,0.564739536,0.009018317,0.014110782,0.011003931
spectral_replies_2clusters_sum_weighted,2,0.720164609,0.020576132,0.075230037,0.395880165,0.629379487,0.486040497
spectral_replies_2clusters_sum_unweighted,2,0.70781893,0.032921811,0.086264879,0.358511976,0.560463029,0.437297439
spectral_replies_2clusters_prod_weight,2,0.526748971,0.21399177,0.640056291,0.084659243,0.184575323,0.116077273
spectral_replies_2clusters_prod_unweighted,2,0.66255144,0.0781893,0.343369447,0.328884096,0.54630396,0.410587605
spectral_replies_2clusters_bib_weight,2,0.716049383,0.024691358,0.086052595,0.381469756,0.607626518,0.468692777
spectral_replies_2clusters_bib_unweight,2,0.716049383,0.024691358,0.081644608,0.37816551,0.591476568,0.461357944
spectral_replies_2clusters_deg_discount_weight,2,0.70781893,0.032921811,0.118547803,0.360257526,0.578849248,0.444113074
spectral_replies_2clusters_deg_discount_unweight,2,0.711934156,0.028806584,0.092098765,0.362992007,0.568969159,0.44321859
spectral_replies_3clusters_undir_weight,3,0.41563786,0.251028807,0.80610336,0.00652379,0.008919216,0.007535721
spectral_replies_3clusters_undir_unweight,3,0.427983539,0.259259259,0.693239357,0.007798361,0.008949115,0.008334203
spectral_replies_3clusters_sum_weighted,3,0.646090535,0.094650206,0.200098594,0.252877723,0.333435885,0.287622549
spectral_replies_3clusters_sum_unweighted,3,0.716049383,0.024691358,0.159379911,0.385161961,0.441997837,0.411627243
spectral_replies_3clusters_prod_weight,3,0.633744856,0.135802469,0.974295521,0.30682592,0.330802778,0.318363546
spectral_replies_3clusters_prod_unweighted,3,0.650205761,0.094650206,0.970567182,0.342483264,0.367336374,0.354474725
spectral_replies_3clusters_bib_weight,3,0.703703704,0.037037037,0.461612521,0.351034673,0.382352603,0.366024951
spectral_replies_3clusters_bib_unweight,3,0.70781893,0.032921811,0.15110408,0.361125313,0.411413594,0.3846327
spectral_replies_3clusters_deg_discount_weight,3,0.650205761,0.090534979,0.950897524,0.237778048,0.292134211,0.262168317
spectral_replies_3clusters_deg_discount_unweight,3,0.711934156,0.028806584,0.836408856,0.382360476,0.430942238,0.405200367
spectral_replies_4clusters_undir_weight,4,0.452674897,0.242798354,0.658567246,0.022539051,0.020400823,0.021416699
spectral_replies_4clusters_undir_unweight,4,0.423868313,0.259259259,0.671147084,0.01305224,0.01253695,0.012789407
spectral_replies_4clusters_sum_weighted,4,0.695473251,0.061728395,0.378435592,0.371863281,0.334161982,0.352006019
spectral_replies_4clusters_sum_unweighted,4,0.724279835,0.028806584,0.243756603,0.382489254,0.376153925,0.379295137
spectral_replies_4clusters_prod_weight,4,0.711934156,0.12345679,1.03149035,0.383823914,0.330408075,0.355118568
spectral_replies_4clusters_prod_unweighted,4,0.757201646,0.094650206,2.088692761,0.420874896,0.352059591,0.383403888
spectral_replies_4clusters_bib_weight,4,0.666666667,0.074074074,1.015432756,0.321501925,0.273942234,0.295822721
spectral_replies_4clusters_bib_unweight,4,0.703703704,0.028806584,0.801390285,0.37201334,0.357074473,0.364390859
spectral_replies_4clusters_deg_discount_weight,4,0.646090535,0.094650206,0.907598825,0.233295152,0.259852104,0.245858556
spectral_replies_4clusters_deg_discount_unweight,4,0.711934156,0.024691358,0.886172881,0.388985344,0.383138634,0.386039853
spectral_retweets_2clusters_undir_weight,2,0.36013986,0.314685315,0.910032275,0.002532399,0.00867925,0.003920802
spectral_retweets_2clusters_undir_unweight,2,0.381118881,0.297202797,0.566177947,0.005240483,0.008435068,0.006464651
spectral_retweets_2clusters_sum_weighted,2,0.440559441,0.237762238,0.759320932,0.096732072,0.323752463,0.1489579
spectral_retweets_2clusters_sum_unweighted,2,0.65034965,0.027972028,0.106061378,0.342395504,0.552876362,0.422893621
spectral_retweets_2clusters_prod_weight,2,0.479020979,0.199300699,0.554158508,0.126613097,0.328491015,0.182776923
spectral_retweets_2clusters_prod_unweighted,2,0.632867133,0.045454545,0.170116145,0.298571595,0.485640734,0.369794055
spectral_retweets_2clusters_bib_weight,2,0.531468531,0.146853147,0.137377952,0.156598115,0.29705667,0.205083319
spectral_retweets_2clusters_bib_unweight,2,0.653846154,0.024475524,0.09651426,0.332535794,0.527357127,0.407876647
spectral_retweets_2clusters_deg_discount_weight,2,0.48951049,0.188811189,0.255402188,0.128734791,0.308710682,0.181699469
spectral_retweets_2clusters_deg_discount_unweight,2,0.65034965,0.027972028,0.13008716,0.322585569,0.511414845,0.395623422
spectral_retweets_3clusters_undir_weight,3,0.370629371,0.297202797,0.680778611,0.005510328,0.007002713,0.006167525
spectral_retweets_3clusters_undir_unweight,3,0.367132867,0.286713287,0.726205227,0.004797942,0.004818167,0.004808034
spectral_retweets_3clusters_sum_weighted,3,0.597902098,0.08041958,0.266755632,0.295626051,0.350876653,0.320890473
spectral_retweets_3clusters_sum_unweighted,3,0.636363636,0.041958042,0.110148623,0.311781506,0.345687323,0.327860149
spectral_retweets_3clusters_prod_weight,3,0.590909091,0.059440559,0.362161742,0.268187851,0.316259283,0.290246602
spectral_retweets_3clusters_prod_unweighted,3,0.636363636,0.041958042,0.339488163,0.344874704,0.410674431,0.374909364
spectral_retweets_3clusters_bib_weight,3,0.604895105,0.073426573,0.281639957,0.301506017,0.342878662,0.320864176
spectral_retweets_3clusters_bib_unweight,3,0.723776224,0.041958042,0.777465428,0.388944709,0.39766838,0.393258171
spectral_retweets_3clusters_deg_discount_weight,3,0.51048951,0.143356643,0.456746664,0.1626388,0.22822637,0.189929755
spectral_retweets_3clusters_deg_discount_unweight,3,0.765734266,0.059440559,1.648073684,0.40766933,0.409711865,0.408688045
spectral_retweets_4clusters_undir_weight,4,0.405594406,0.272727273,0.751725335,0.018286156,0.016229073,0.017196314
spectral_retweets_4clusters_undir_unweight,4,0.391608392,0.276223776,0.774791348,0.012796535,0.010389644,0.011468163
spectral_retweets_4clusters_sum_weighted,4,0.58041958,0.097902098,0.521566561,0.295844254,0.264570891,0.279334984
spectral_retweets_4clusters_sum_unweighted,4,0.674825175,0.076923077,0.31648888,0.339264643,0.277367127,0.305209247
spectral_retweets_4clusters_prod_weight,4,0.636363636,0.087412587,0.720161359,0.309021041,0.282150371,0.294975026
spectral_retweets_4clusters_prod_unweighted,4,0.744755245,0.062937063,1.474875331,0.401841531,0.328369405,0.361409171
spectral_retweets_4clusters_bib_weight,4,0.622377622,0.059440559,0.658884672,0.31616484,0.290710204,0.30290369
spectral_retweets_4clusters_bib_unweight,4,0.804195804,0.062937063,1.604540504,0.470402189,0.38431815,0.423025148
spectral_retweets_4clusters_deg_discount_weight,4,0.576923077,0.097902098,1.364952105,0.223900642,0.208715381,0.216041503
spectral_retweets_4clusters_deg_discount_unweight,4,0.674825175,0.034965035,1.513129084,0.386137302,0.308442058,0.342944207
